year,city,zone,annual_precip_mm
2002,Lagos,Coastal,1668.7
2002,Maiduguri,Sahel,301.0
2002,Port Harcourt,Coastal,2778.2
2002,Sokoto,Sahel,444.2
2003,Abuja,Guinea Savanna,1165.2
2003,Calabar,Coastal,2887.4
2003,Ilorin,Guinea Savanna,722.7
2003,Jos,Guinea Savanna,1576.6
2003,Kano,Sahel,748.2
2003,Lagos,Coastal,1533.0
2003,Maiduguri,Sahel,399.3
2003,Port Harcourt,Coastal,2588.5
2003,Sokoto,Sahel,340.5
2004,Abuja,Guinea Savanna,1385.9
2004,Calabar,Coastal,3084.2
2004,Ilorin,Guinea Savanna,616.1
2004,Jos,Guinea Savanna,1720.7
2004,Kano,Sahel,514.9
2004,Lagos,Coastal,1548.1
2004,Maiduguri,Sahel,329.1
2004,Port Harcourt,Coastal,2608.3
2004,Sokoto,Sahel,315.1
2005,Abuja,Guinea Savanna,1267.9
2005,Calabar,Coastal,3012.1
2005,Ilorin,Guinea Savanna,665.0
2005,Jos,Guinea Savanna,1497.9
2005,Kano,Sahel,595.9
2005,Lagos,Coastal,1436.1
2005,Maiduguri,Sahel,460.1
2005,Port Harcourt,Coastal,2440.8
2005,Sokoto,Sahel,335.0
2006,Abuja,Guinea Savanna,1334.4
2006,Calabar,Coastal,2958.3
2006,Ilorin,Guinea Savanna,726.5
2006,Jos,Guinea Savanna,1636.6
2006,Kano,Sahel,584.2
2006,Lagos,Coastal,1809.5
2006,Maiduguri,Sahel,270.5
2006,Port Harcourt,Coastal,2568.7
2006,Sokoto,Sahel,308.1
2007,Abuja,Guinea Savanna,1214.5
2007,Calabar,Coastal,3531.6
2007,Ilorin,Guinea Savanna,833.7
2007,Jos,Guinea Savanna,1386.5
2007,Kano,Sahel,516.9
2007,Lagos,Coastal,1854.4
2007,Maiduguri,Sahel,459.8
2007,Port Harcourt,Coastal,2871.9
2007,Sokoto,Sahel,370.40000000000003
2008,Abuja,Guinea Savanna,1252.5
2008,Calabar,Coastal,3227.2
2008,Ilorin,Guinea Savanna,808.7
2008,Jos,Guinea Savanna,1737.0
2008,Kano,Sahel,625.6
2008,Lagos,Coastal,1597.6
2008,Maiduguri,Sahel,504.4
2008,Port Harcourt,Coastal,2472.1
2008,Sokoto,Sahel,368.3
2009,Abuja,Guinea Savanna,1453.2
2009,Calabar,Coastal,3416.6
2009,Ilorin,Guinea Savanna,588.9
2009,Jos,Guinea Savanna,1732.8
2009,Kano,Sahel,551.9
2009,Lagos,Coastal,1508.4
2009,Maiduguri,Sahel,318.8
2009,Port Harcourt,Coastal,3048.3
2009,Sokoto,Sahel,325.2
2010,Abuja,Guinea Savanna,1336.6
2010,Calabar,Coastal,3101.1
2010,Ilorin,Guinea Savanna,818.1
2010,Jos,Guinea Savanna,1757.1
2010,Kano,Sahel,705.7
2010,Lagos,Coastal,1590.7
2010,Maiduguri,Sahel,558.1
2010,Port Harcourt,Coastal,2796.5
2010,Sokoto,Sahel,536.5
2011,Abuja,Guinea Savanna,1152.6
2011,Calabar,Coastal,3188.6
2011,Ilorin,Guinea Savanna,663.2
2011,Jos,Guinea Savanna,1500.9
2011,Kano,Sahel,765.3
2011,Lagos,Coastal,1488.6
2011,Maiduguri,Sahel,376.6
2011,Port Harcourt,Coastal,2516.4
2011,Sokoto,Sahel,252.2
2012,Abuja,Guinea Savanna,1812.1
2012,Calabar,Coastal,2885.8
2012,Ilorin,Guinea Savanna,905.2
2012,Jos,Guinea Savanna,1644.3
2012,Kano,Sahel,800.0
2012,Lagos,Coastal,1831.8
2012,Maiduguri,Sahel,534.8
2012,Port Harcourt,Coastal,2401.1
2012,Sokoto,Sahel,426.5
2013,Abuja,Guinea Savanna,1468.8
2013,Calabar,Coastal,3482.7
2013,Ilorin,Guinea Savanna,669.9
2013,Jos,Guinea Savanna,1653.5
2013,Kano,Sahel,624.7
2013,Lagos,Coastal,1272.3
2013,Maiduguri,Sahel,429.1
2013,Port Harcourt,Coastal,2751.9
2013,Sokoto,Sahel,482.2
2014,Abuja,Guinea Savanna,1533.0
2014,Calabar,Coastal,3190.8
2014,Ilorin,Guinea Savanna,864.0
2014,Jos,Guinea Savanna,1662.8
2014,Kano,Sahel,725.9
2014,Lagos,Coastal,1827.4
2014,Maiduguri,Sahel,411.7
2014,Port Harcourt,Coastal,2653.4
2014,Sokoto,Sahel,383.7
2015,Abuja,Guinea Savanna,1192.5
2015,Calabar,Coastal,3285.0
2015,Ilorin,Guinea Savanna,700.0
2015,Jos,Guinea Savanna,1343.6
2015,Kano,Sahel,654.3
2015,Lagos,Coastal,1455.7
2015,Maiduguri,Sahel,425.5
2015,Port Harcourt,Coastal,2520.0
2015,Sokoto,Sahel,429.7
2016,Abuja,Guinea Savanna,1514.9
2016,Calabar,Coastal,3761.1
2016,Ilorin,Guinea Savanna,1049.5
2016,Jos,Guinea Savanna,1724.5
2016,Kano,Sahel,591.0
2016,Lagos,Coastal,1714.8
2016,Maiduguri,Sahel,460.1
2016,Port Harcourt,Coastal,2826.5
2016,Sokoto,Sahel,590.1
2017,Abuja,Guinea Savanna,754.9
2017,Calabar,Coastal,2592.4
2017,Ilorin,Guinea Savanna,633.5
2017,Jos,Guinea Savanna,963.1
2017,Kano,Sahel,459.8
2017,Lagos,Coastal,1361.8
2017,Maiduguri,Sahel,398.9
2017,Port Harcourt,Coastal,2209.3
2017,Sokoto,Sahel,473.5
2018,Abuja,Guinea Savanna,1172.3
2018,Calabar,Coastal,2567.1
2018,Ilorin,Guinea Savanna,847.0
2018,Jos,Guinea Savanna,1026.0
2018,Kano,Sahel,522.9
2018,Lagos,Coastal,1192.7
2018,Maiduguri,Sahel,444.4
2018,Port Harcourt,Coastal,2482.1
2018,Sokoto,Sahel,427.5
2019,Abuja,Guinea Savanna,1280.9
2019,Calabar,Coastal,3684.2
2019,Ilorin,Guinea Savanna,1000.1
2019,Jos,Guinea Savanna,1165.6
2019,Kano,Sahel,564.6
2019,Lagos,Coastal,1452.9
2019,Maiduguri,Sahel,526.8
2019,Port Harcourt,Coastal,2730.5
2019,Sokoto,Sahel,338.4
2020,Abuja,Guinea Savanna,917.2
2020,Calabar,Coastal,2264.6
2020,Ilorin,Guinea Savanna,511.0
2020,Jos,Guinea Savanna,899.4
2020,Kano,Sahel,573.3
2020,Lagos,Coastal,1186.0
2020,Maiduguri,Sahel,419.7
2020,Port Harcourt,Coastal,2372.8
2020,Sokoto,Sahel,428.7
2021,Abuja,Guinea Savanna,761.6
2021,Calabar,Coastal,2655.1
2021,Ilorin,Guinea Savanna,438.5
2021,Jos,Guinea Savanna,824.7
2021,Kano,Sahel,367.3
2021,Lagos,Coastal,1216.1
2021,Maiduguri,Sahel,302.5
2021,Port Harcourt,Coastal,2468.7
2021,Sokoto,Sahel,158.1
2022,Abuja,Guinea Savanna,1113.9
2022,Calabar,Coastal,2178.6
2022,Ilorin,Guinea Savanna,860.0
2022,Jos,Guinea Savanna,1041.9
2022,Kano,Sahel,767.1
2022,Lagos,Coastal,1213.0
